phi	theta	value
45	115	0.1376
45	120	0.1376
45	125	-0.144622222222222
45	130	-0.29362
45	135	NA
45	140	100
45	145	100
45	150	100
45	155	100
45	160	100
45	165	100
45	170	100
45	175	100
45	180	100
50	5	100
50	10	100
50	15	100
50	20	100
50	25	100
50	30	100
50	35	100
50	40	100
50	45	100
50	50	0.1376
50	55	0.09185
50	60	-0.4114
50	65	-0.237775
50	70	-0.13375
50	75	-0.0876
50	80	-0.0876
50	85	-0.0876
50	90	-0.0876
50	95	-0.7485
50	100	0.8806
50	105	0.8806
50	110	0.8806
50	115	0.2862
50	120	0.1376
50	125	-0.1799
50	130	-0.1799
50	135	-0.7485
50	140	100
50	145	100
50	150	100
50	155	100
50	160	100
50	165	100
50	170	100
50	175	100
50	180	100
55	5	100
55	10	100
55	15	100
55	20	100
55	25	100
55	30	100
55	35	100
55	40	100
55	45	NA
55	50	0.1376
55	55	-0.1369
55	60	-0.372816666666667
55	65	-0.1799
55	70	-0.1799
55	75	-0.118366666666667
55	80	-0.0182666666666667
55	85	0.1204
55	90	NA
55	95	-0.7485
55	100	0.8806
55	105	0.8806
55	110	0.8806
55	115	0.8806
55	120	0.1376
55	125	0.1376
55	130	-0.31654
55	135	-0.892533333333333
55	140	NA
55	145	100
55	150	100
55	155	100
55	160	100
55	165	100
55	170	100
55	175	100
55	180	100
60	5	100
60	10	100
60	15	100
60	20	100
60	25	100
60	30	100
60	35	100
60	40	100
60	45	0.1376
60	50	0.1376
60	55	-0.4114
60	60	-0.257066666666667
60	65	-0.1799
60	70	-0.1799
60	75	-0.1799
60	80	NA
60	85	1.2727
60	90	-0.7485
60	95	NA
60	100	0.337566666666667
60	105	0.8806
60	110	0.8806
60	115	0.8806
60	120	0.774457142857143
60	125	0.1376
60	130	-0.0740666666666667
60	135	-1.03656666666667
60	140	-0.7485
60	145	100
60	150	100
60	155	100
60	160	100
60	165	100
60	170	100
60	175	100
60	180	100
65	5	100
65	10	100
65	15	100
65	20	100
65	25	100
65	30	100
65	35	100
65	40	NA
65	45	0.1376
65	50	-0.0454
65	55	-0.353525
65	60	-0.1799
65	65	-0.586166666666667
65	70	1.2727
65	75	1.2727
65	80	1.04224
65	85	1.2727
65	90	0.1204
65	95	0.129
65	100	0.1376
65	105	0.8806
65	110	0.8806
65	115	0.8806
65	120	0.8806
65	125	0.8806
65	130	0.1376
65	135	-1.04878
65	140	-1.11887142857143
65	145	NA
65	150	100
65	155	100
65	160	100
65	165	100
65	170	100
65	175	100
65	180	100
70	5	100
70	10	100
70	15	100
70	20	100
70	25	100
70	30	100
70	35	100
70	40	0.1376
70	45	0.1376
70	50	-0.4114
70	55	-0.1799
70	60	-0.7893
70	65	-0.7893
70	70	1.2727
70	75	1.2727
70	80	1.2727
70	85	1.2727
70	90	0.8886
70	95	0.1204
70	100	0.1376
70	105	0.1376
70	110	0.732
70	115	0.8806
70	120	0.8806
70	125	0.8806
70	130	0.1376
70	135	-0.686275
70	140	-1.1806
70	145	-0.7485
70	150	100
70	155	100
70	160	100
70	165	100
70	170	100
70	175	100
70	180	100
75	5	100
75	10	100
75	15	100
75	20	100
75	25	100
75	30	100
75	35	100
75	40	0.1376
75	45	-0.0454
75	50	NA
75	55	-0.1799
75	60	-0.7893
75	65	-0.7893
75	70	0.9803
75	75	1.2727
75	80	1.2727
75	85	1.2727
75	90	1.2727
75	95	0.1204
75	100	NA
75	105	0.1376
75	110	0.1376
75	115	0.8806
75	120	0.8806
75	125	0.8806
75	130	0.1376
75	135	0.1376
75	140	-1.1806
75	145	-1.1806
75	150	100
75	155	100
75	160	100
75	165	100
75	170	100
75	175	100
75	180	100
80	5	100
80	10	100
80	15	100
80	20	100
80	25	100
80	30	100
80	35	0.1376
80	40	0.1376
80	45	-0.1369
80	50	-0.7893
80	55	-0.7893
80	60	-0.7893
80	65	-0.491833333333333
80	70	0.1031
80	75	0.1031
80	80	1.2727
80	85	1.2727
80	90	1.04224
80	95	0.1204
80	100	0.1376
80	105	0.1376
80	110	0.1376
80	115	0.8806
80	120	0.68696
80	125	0.8806
80	130	0.32335
80	135	0.1376
80	140	-0.85105
80	145	-1.1806
80	150	-1.1806
80	155	100
80	160	100
80	165	100
80	170	100
80	175	100
80	180	100
85	5	100
85	10	100
85	15	100
85	20	100
85	25	100
85	30	100
85	35	0.1376
85	40	0.0766
85	45	NA
85	50	-0.7893
85	55	-0.7893
85	60	-0.7893
85	65	-0.0243857142857143
85	70	0.1031
85	75	0.1031
85	80	1.2727
85	85	1.2727
85	90	1.2727
85	95	0.1204
85	100	0.129
85	105	0.1376
85	110	0.1376
85	115	-0.0876
85	120	-0.0876
85	125	0.235133333333333
85	130	0.1376
85	135	0.1376
85	140	-0.0999857142857143
85	145	-1.1806
85	150	-1.1806
85	155	100
85	160	100
85	165	100
85	170	100
85	175	100
85	180	100
90	5	100
90	10	100
90	15	100
90	20	100
90	25	100
90	30	NA
90	35	0.1376
90	40	0.1376
90	45	NA
90	50	-0.7893
90	55	-0.7893
90	60	-0.43234
90	65	0.1031
90	70	0.1031
90	75	0.10656
90	80	0.1204
90	85	0.1204
90	90	0.1204
90	95	0.1204
90	100	0.129
90	105	0.025
90	110	-0.0876
90	115	-0.0876
90	120	-0.0876
90	125	-0.0876
90	130	-0.0876
90	135	0.1376
90	140	0.1376
90	145	-1.1806
90	150	-1.1806
90	155	NA
90	160	100
90	165	100
90	170	100
90	175	100
90	180	100
95	5	100
95	10	100
95	15	100
95	20	100
95	25	100
95	30	0.1376
95	35	-0.04778
95	40	-0.7893
95	45	-0.802783333333333
95	50	-0.7893
95	55	-0.7893
95	60	0.1031
95	65	0.1031
95	70	0.1031
95	75	0.116075
95	80	0.1204
95	85	0.1204
95	90	0.1204
95	95	0.1204
95	100	-0.0044
95	105	-0.0876
95	110	-0.0876
95	115	-0.0876
95	120	-0.0876
95	125	-0.0876
95	130	-0.0876
95	135	0.1376
95	140	NA
95	145	-0.451933333333333
95	150	-1.1806
95	155	NA
95	160	100
95	165	100
95	170	100
95	175	100
95	180	100
100	5	100
100	10	100
100	15	100
100	20	100
100	25	100
100	30	0.1376
100	35	-0.3431
100	40	-0.0876
100	45	-0.64896
100	50	-0.7893
100	55	-0.3431
100	60	0.1031
100	65	0.1031
100	70	0.11002
100	75	0.1204
100	80	0.1204
100	85	0.1204
100	90	0.1204
100	95	0.1204
100	100	-0.0044
100	105	-0.0876
100	110	-0.0876
100	115	-0.0876
100	120	-0.0876
100	125	-0.0876
100	130	-0.0876
100	135	-0.0876
100	140	0.04845
100	145	-0.0876
100	150	-1.1806
100	155	-0.53875
100	160	100
100	165	100
100	170	100
100	175	100
100	180	100
105	5	100
105	10	100
105	15	100
105	20	100
105	25	NA
105	30	NA
105	35	-0.496925
105	40	-0.5554
105	45	-0.7893
105	50	-0.7893
105	55	NA
105	60	0.1031
105	65	0.1031
105	70	0.1204
105	75	0.1204
105	80	0.1204
105	85	0.1204
105	90	0.600025
105	95	0.1204
105	100	-0.0876
105	105	-0.0876
105	110	-0.0876
105	115	-0.0876
105	120	-0.0876
105	125	-0.0876
105	130	-0.0876
105	135	-0.0876
105	140	0.0062
105	145	0.0062
105	150	-0.9828
105	155	-1.1806
105	160	NA
105	165	100
105	170	100
105	175	100
105	180	100
110	5	100
110	10	100
110	15	100
110	20	100
110	25	0.1204
110	30	-0.211025
110	35	-0.137721428571429
110	40	-0.3215
110	45	-0.7893
110	50	-0.7893
110	55	-0.613875
110	60	-0.0876
110	65	0.0395333333333333
110	70	0.0788
110	75	0.1204
110	80	0.0696444444444444
110	85	0.131816666666667
110	90	0.7599
110	95	0.7599
110	100	-0.0876
110	105	-0.0876
110	110	-0.0876
110	115	-0.0876
110	120	-0.0876
110	125	-0.0876
110	130	-0.0876
110	135	-0.0240333333333333
110	140	NA
110	145	0.0062
110	150	0.0062
110	155	-1.1806
110	160	0.1031
110	165	100
110	170	100
110	175	100
110	180	100
115	5	100
115	10	100
115	15	100
115	20	100
115	25	NA
115	30	-0.151390909090909
115	35	-0.191428571428571
115	40	0.0149833333333333
115	45	-0.7893
115	50	-0.0876
115	55	-0.0876
115	60	-0.0876
115	65	-0.0876
115	70	-0.0250666666666667
115	75	0.0062
115	80	0.0062
115	85	-0.0250666666666667
115	90	-0.0876
115	95	-0.0270642857142857
115	100	-0.016975
115	105	-0.0876
115	110	-0.0876
115	115	-0.0876
115	120	-0.0876
115	125	-0.0876
115	130	-0.0876
115	135	0.00775
115	140	0.1031
115	145	-0.03102
115	150	0.0062
115	155	-1.1806
115	160	-1.1806
115	165	100
115	170	100
115	175	100
115	180	100
120	5	100
120	10	100
120	15	100
120	20	NA
120	25	-0.263025
120	30	-0.239415384615385
120	35	-0.249111111111111
120	40	1.2727
120	45	1.2727
120	50	-0.0876
120	55	-0.0876
120	60	-0.0876
120	65	-0.0876
120	70	0.164014285714286
120	75	0.88996
120	80	1.1109
120	85	0.3119
120	90	-0.0876
120	95	-0.00285
120	100	0.0370323529411765
120	105	-0.0876
120	110	-0.0876
120	115	-0.0876
120	120	-0.0876
120	125	-0.0876
120	130	-0.06415
120	135	0.1031
120	140	0.1031
120	145	-0.08685
120	150	0.0062
120	155	-0.8839
120	160	-1.1806
120	165	NA
120	170	100
120	175	100
120	180	100
125	5	100
125	10	100
125	15	100
125	20	-0.0356
125	25	-0.0321333333333333
125	30	-0.2693
125	35	-0.23296
125	40	1.2727
125	45	0.08725
125	50	-0.0876
125	55	-0.0876
125	60	-0.0876
125	65	0.203325
125	70	1.1109
125	75	1.1109
125	80	1.1109
125	85	0.636825
125	90	-0.0876
125	95	0.2111
125	100	0.111811764705882
125	105	0.0334714285714286
125	110	0.33615
125	115	0.33615
125	120	0.7599
125	125	0.226166666666667
125	130	-0.0876
125	135	0.0062
125	140	0.0062
125	145	0.0062
125	150	0.0062
125	155	-0.94324
125	160	-1.1806
125	165	-0.96455
125	170	100
125	175	100
125	180	100
130	5	100
130	10	100
130	15	100
130	20	-0.0281714285714286
130	25	-0.239016666666667
130	30	-1.0666875
130	35	-0.0979666666666667
130	40	-0.7485
130	45	-0.7485
130	50	-0.19775
130	55	0.33615
130	60	0.7599
130	65	1.0407
130	70	1.1109
130	75	1.1109
130	80	1.1109
130	85	0.338210526315789
130	90	0.0947117647058823
130	95	-0.0564
130	100	-0.0270642857142857
130	105	-0.0537
130	110	0.7599
130	115	0.7599
130	120	0.7599
130	125	NA
130	130	0.0062
130	135	0.0062
130	140	0.0062
130	145	-0.08685
130	150	0.0062
130	155	-0.5872
130	160	-1.05016666666667
130	165	-1.04336666666667
130	170	100
130	175	100
130	180	100
135	5	100
135	10	100
135	15	NA
135	20	-0.1647
135	25	-0.72495
135	30	-1.1806
135	35	-0.7598875
135	40	-0.7485
135	45	-0.3714
135	50	0.666071428571429
135	55	0.406238461538462
135	60	0.344038461538462
135	65	0.922311111111111
135	70	1.02225
135	75	0.187191666666667
135	80	-0.7893
135	85	-0.7893
135	90	-0.694683333333333
135	95	-0.419060869565217
135	100	0.593838461538462
135	105	0.0884857142857143
135	110	0.7599
135	115	0.7599
135	120	0.790075
135	125	NA
135	130	0.2248
135	135	0.0062
135	140	0.0062
135	145	0.0062
135	150	0.0062
135	155	0.0062
135	160	-0.952341666666667
135	165	-0.7893
135	170	NA
135	175	100
135	180	100
140	5	100
140	10	100
140	15	-0.1771
140	20	-0.1771
140	25	-0.998145454545455
140	30	-1.1806
140	35	-1.09513333333333
140	40	-0.7485
140	45	0.6778
140	50	0.212566666666667
140	55	0.1031
140	60	0.3629
140	65	1.0124
140	70	0.2987
140	75	-0.29954
140	80	-0.7893
140	85	-0.7893
140	90	-0.7893
140	95	-0.594485185185185
140	100	0.450436363636364
140	105	0.79827
140	110	-0.0876
140	115	-0.0876
140	120	0.8806
140	125	0.8806
140	130	0.8806
140	135	0.0062
140	140	0.0062
140	145	0.0062
140	150	0.0062
140	155	0.0062
140	160	-0.852366666666667
140	165	-0.7893
140	170	-0.7893
140	175	100
140	180	100
145	5	100
145	10	100
145	15	-0.1771
145	20	-0.1771
145	25	-1.1806
145	30	-1.1806
145	35	-1.06522
145	40	0.515214285714286
145	45	0.212566666666667
145	50	0.112509090909091
145	55	0.129482352941176
145	60	0.0391444444444444
145	65	-0.455016666666667
145	70	-0.49247
145	75	-0.465194117647059
145	80	-0.7893
145	85	-0.7893
145	90	-0.7893
145	95	-0.250120930232558
145	100	0.653892857142857
145	105	0.9138
145	110	-0.0876
145	115	-0.0876
145	120	0.557866666666667
145	125	0.8806
145	130	0.8806
145	135	0.8806
145	140	0.1376
145	145	0.1376
145	150	0.1376
145	155	0.0249714285714286
145	160	-0.23116
145	165	-0.7893
145	170	-0.7893
145	175	100
145	180	100
150	5	100
150	10	NA
150	15	-0.1771
150	20	0.04108
150	25	-1.1806
150	30	-1.1806
150	35	-0.764764285714286
150	40	0.30642
150	45	0.1031
150	50	0.135135714285714
150	55	0.1376
150	60	-0.644252941176471
150	65	-0.7485
150	70	-0.7485
150	75	-0.729653846153846
150	80	-0.7893
150	85	-0.644204761904762
150	90	-0.36869
150	95	-0.0123371428571429
150	100	0.32335
150	105	-0.0876
150	110	-0.0876
150	115	-0.0876
150	120	0.235133333333333
150	125	0.8806
150	130	0.8806
150	135	0.8806
150	140	0.1376
150	145	0.1376
150	150	0.1376
150	155	0.08504
150	160	0.0062
150	165	-0.731522222222222
150	170	-0.7893
150	175	-0.7893
150	180	100
155	5	100
155	10	-0.1771
155	15	-0.0558888888888889
155	20	-0.76172
155	25	-1.1806
155	30	-0.592388235294118
155	35	-0.430127777777778
155	40	-0.241990909090909
155	45	0.19166875
155	50	0.120276923076923
155	55	-0.0261818181818182
155	60	-0.579635714285714
155	65	-0.7485
155	70	-0.7485
155	75	-0.457617647058824
155	80	-0.681346153846154
155	85	-0.519611764705882
155	90	-0.524932075471698
155	95	-0.0865736842105263
155	100	0.8806
155	105	-0.0876
155	110	-0.0876
155	115	-0.0876
155	120	NA
155	125	0.8806
155	130	0.8806
155	135	0.8806
155	140	0.1376
155	145	0.1376
155	150	0.1376
155	155	-0.0125333333333333
155	160	-0.0616857142857143
155	165	-0.7493
155	170	-0.7893
155	175	-0.7893
155	180	100
160	5	100
160	10	-0.1771
160	15	0.36835
160	20	-0.26592
160	25	-0.48832
160	30	-0.4114
160	35	-0.530376470588235
160	40	0.211390909090909
160	45	0.345033333333333
160	50	0.00891428571428572
160	55	-0.0729307692307692
160	60	0.0463266666666667
160	65	-0.40786
160	70	-0.318915
160	75	-0.0876
160	80	-0.178644444444444
160	85	-0.507177192982456
160	90	-0.626745454545454
160	95	0.8806
160	100	0.3965
160	105	-0.0876
160	110	-0.0876
160	115	-0.0876
160	120	-0.0876
160	125	0.8806
160	130	0.8806
160	135	0.8806
160	140	0.1376
160	145	0.1376
160	150	-0.711579166666667
160	155	-0.152105882352941
160	160	-0.0645025641025641
160	165	-0.251034146341463
160	170	-0.7893
160	175	-0.7893
160	180	100
165	5	NA
165	10	-0.1771
165	15	0.792588888888889
165	20	-0.316742857142857
165	25	-0.4114
165	30	-0.4114
165	35	-0.6220875
165	40	0.60906
165	45	0.0132625
165	50	-0.0876
165	55	0.0590923076923077
165	60	0.1031
165	65	0.0713166666666667
165	70	-0.0876
165	75	-0.141566666666667
165	80	-0.23502641509434
165	85	-0.161125925925926
165	90	0.0062
165	95	0.0062
165	100	0.0062
165	105	-0.0876
165	110	-0.0876
165	115	-0.0876
165	120	-0.0876
165	125	0.8806
165	130	0.8806
165	135	0.8806
165	140	NA
165	145	-0.7485
165	150	-0.651308823529412
165	155	-0.320858823529412
165	160	-0.0876
165	165	-0.0876
165	170	-0.534136363636364
165	175	-0.7893
165	180	NA
170	5	NA
170	10	0.36835
170	15	0.5825
170	20	-0.4114
170	25	-0.4114
170	30	-0.5378125
170	35	-0.773917647058824
170	40	-1.11412307692308
170	45	-1.1806
170	50	-0.0739785714285714
170	55	0.0522466666666667
170	60	0.0918823529411765
170	65	-0.434465217391304
170	70	-0.188346666666667
170	75	-0.174558823529412
170	80	-0.148918032786885
170	85	-0.01256
170	90	0.0062
170	95	0.0062
170	100	0.0062
170	105	-0.0876
170	110	-0.0876
170	115	-0.0876
170	120	0.235133333333333
170	125	0.5576
170	130	-0.4114
170	135	0.8806
170	140	-0.4114
170	145	-0.728670588235294
170	150	-0.7485
170	155	-0.3079
170	160	-0.0876
170	165	-0.0876
170	170	-0.198394736842105
170	175	-0.7893
170	180	-0.7893
175	5	0.9138
175	10	0.9138
175	15	-0.158616666666667
175	20	-0.4114
175	25	-0.551117857142857
175	30	-0.0769826086956522
175	35	-0.477355555555556
175	40	-1.1806
175	45	-0.981872727272727
175	50	-0.0876
175	55	-0.0876
175	60	-0.0876
175	65	-0.490696875
175	70	-0.140447058823529
175	75	-0.0913685714285714
175	80	-0.0250666666666667
175	85	0.0062
175	90	0.0062
175	95	0.0062
175	100	-0.0876
175	105	-0.0876
175	110	-0.0876
175	115	-0.0876
175	120	-0.2495
175	125	-0.153
175	130	-0.4114
175	135	-0.4114
175	140	-0.4114
175	145	-0.7485
175	150	-0.7485
175	155	-0.646823076923077
175	160	-0.122384210526316
175	165	-0.0876
175	170	-0.0876
175	175	-0.388328571428571
175	180	-0.7893
180	5	0.9138
180	10	-0.0594
180	15	-0.7893
180	20	-0.7893
180	25	-0.7893
180	30	1.0372
180	35	0.36232
180	40	-0.286327272727273
180	45	-0.4155
180	50	-0.126635714285714
180	55	-0.12175625
180	60	-0.276141666666667
180	65	-0.565344444444444
180	70	-0.1771
180	75	-0.1771
180	80	0.0062
180	85	0.0062
180	90	0.0062
180	95	0.0062
180	100	-0.0876
180	105	-0.0876
180	110	-0.0876
180	115	-0.0876
180	120	-0.37902
180	125	-0.4114
180	130	-0.4114
180	135	-0.4114
180	140	-0.0982
180	145	0.0062
180	150	-0.7485
180	155	-0.5809
180	160	-0.370842857142857
180	165	-0.0876
180	170	-0.27472
180	175	-0.739178571428571
180	180	-0.7893
185	5	-0.0876
185	10	-0.7893
185	15	-0.7893
185	20	-0.7893
185	25	0.705109090909091
185	30	1.0372
185	35	0.90644
185	40	0.3193
185	45	-1.1806
185	50	-1.1806
185	55	-1.1806
185	60	-1.05016666666667
185	65	-0.7893
185	70	-0.42198
185	75	-0.1771
185	80	0.0062
185	85	0.0062
185	90	0.0062
185	95	-0.0407
185	100	-0.0876
185	105	-0.0876
185	110	-0.0876
185	115	-0.0876
185	120	-0.321455555555556
185	125	-0.4114
185	130	-0.4114
185	135	-0.2548
185	140	0.0062
185	145	0.0062
185	150	0.257433333333333
185	155	0.7599
185	160	-0.349628571428571
185	165	-0.4114
185	170	-0.735314285714286
185	175	-0.7893
185	180	-0.7893
190	5	-0.109975
190	10	-0.0876
190	15	-0.56421
190	20	0.09622
190	25	1.00947
190	30	0.963253333333333
190	35	0.4008
190	40	-0.9011
190	45	-1.1806
190	50	-1.1806
190	55	-1.1806
190	60	-0.963211111111111
190	65	-0.7893
190	70	-0.738283333333333
190	75	-0.1771
190	80	-0.039625
190	85	0.0062
190	90	0.0062
190	95	-0.0876
190	100	-0.0876
190	105	-0.0876
190	110	-0.0876
190	115	-0.0876
190	120	-0.384416666666667
190	125	-0.4114
190	130	-0.4114
190	135	-0.0866
190	140	0.0062
190	145	0.0062
190	150	-0.0469714285714286
190	155	-0.36799375
190	160	-0.4114
190	165	-0.4114
190	170	-0.686236363636364
190	175	-0.7893
190	180	-0.7893
195	5	-0.1771
195	10	-0.0876
195	15	0.05365
195	20	0.7599
195	25	0.7599
195	30	0.7599
195	35	-0.47946
195	40	-0.7893
195	45	-0.919733333333333
195	50	-1.1806
195	55	-1.1806
195	60	-0.86756
195	65	-0.7893
195	70	-0.7893
195	75	-0.4832
195	80	-0.116
195	85	0.0062
195	90	0.0062
195	95	-0.0407
195	100	-0.0876
195	105	-0.0876
195	110	-0.0876
195	115	-0.0876
195	120	NA
195	125	-0.365142857142857
195	130	-0.4114
195	135	-0.113114285714286
195	140	0.0062
195	145	0.0062
195	150	-0.1374
195	155	-0.4114
195	160	-0.4114
195	165	-0.4114
195	170	-0.388328571428571
195	175	-0.588814285714286
195	180	-0.7893
200	5	NA
200	10	-0.0876
200	15	-0.0876
200	20	0.638828571428571
200	25	0.7599
200	30	0.7599
200	35	-0.346671428571429
200	40	-0.7893
200	45	-0.7893
200	50	-0.8452
200	55	-0.887125
200	60	-0.7893
200	65	-0.7893
200	70	-0.7893
200	75	-0.63625
200	80	0.0062
200	85	0.0062
200	90	0.0062
200	95	0.38305
200	100	0.548025
200	105	-0.0876
200	110	-0.0876
200	115	-0.0876
200	120	NA
200	125	-0.7485
200	130	-0.7485
200	135	-0.57995
200	140	0.46
200	145	0.0062
200	150	-0.378328571428571
200	155	-0.4114
200	160	-0.4114
200	165	-0.384416666666667
200	170	-0.0876
200	175	-0.3215
200	180	NA
205	5	100
205	10	-0.1055
205	15	-0.0876
205	20	0.365833333333333
205	25	0.7599
205	30	0.7599
205	35	-0.3025625
205	40	-0.7893
205	45	-0.7893
205	50	-0.7893
205	55	-0.7893
205	60	-0.7893
205	65	-0.7893
205	70	-0.7893
205	75	0.0062
205	80	0.0062
205	85	0.0062
205	90	0.7599
205	95	0.7599
205	100	0.7599
205	105	0.7599
205	110	0.33615
205	115	-0.0876
205	120	-0.583275
205	125	-0.7485
205	130	-0.7485
205	135	-0.1944
205	140	0.9138
205	145	0.73228
205	150	-0.0982
205	155	-0.4114
205	160	-0.4114
205	165	-0.15236
205	170	-0.0998045454545455
205	175	-0.381166666666667
205	180	100
210	5	100
210	10	-0.13235
210	15	-0.0876
210	20	0.9660375
210	25	-0.3894
210	30	0.0062
210	35	-0.192675
210	40	-0.7893
210	45	-0.7893
210	50	0.73086
210	55	-0.1771
210	60	-0.7893
210	65	-0.7893
210	70	0.1608
210	75	0.35082
210	80	1.1109
210	85	1.1109
210	90	0.9354
210	95	0.7599
210	100	0.7599
210	105	0.7599
210	110	0.7599
210	115	0.7599
210	120	0.1376
210	125	-0.7485
210	130	0.0895
210	135	0.7599
210	140	0.8625
210	145	0.265514285714286
210	150	-0.133
210	155	-0.335428571428571
210	160	-0.0473111111111111
210	165	-0.0625777777777778
210	170	-0.1211625
210	175	-0.585233333333333
210	180	100
215	5	100
215	10	NA
215	15	-0.0957363636363636
215	20	0.9660375
215	25	-1.1806
215	30	-0.671971428571429
215	35	-0.0159375
215	40	-0.7893
215	45	0.35082
215	50	1.1109
215	55	0.4898125
215	60	0.0062
215	65	0.0062
215	70	0.795271428571429
215	75	1.1109
215	80	1.1109
215	85	1.1109
215	90	1.1109
215	95	0.9354
215	100	0.7599
215	105	0.7599
215	110	NA
215	115	0.44875
215	120	0.1376
215	125	0.345033333333333
215	130	0.7599
215	135	0.7599
215	140	0.7599
215	145	0.0062
215	150	0.1204
215	155	0.1204
215	160	0.1376
215	165	0.093875
215	170	-0.224192307692308
215	175	NA
215	180	100
220	5	100
220	10	100
220	15	0.1242
220	20	1.2727
220	25	-0.830128571428572
220	30	-1.1806
220	35	0.1812
220	40	1.1109
220	45	1.1109
220	50	1.1109
220	55	0.66902
220	60	0.0062
220	65	0.0062
220	70	1.1109
220	75	1.1109
220	80	1.1109
220	85	1.1109
220	90	1.1109
